2013 05 07 12 00 00  208.00
2013 05 07 18 00 00  318.00
2013 05 08 00 00 00  281.00
2013 05 08 06 00 00  245.00
2013 05 08 12 00 00  273.00
2013 05 08 18 00 00  296.00
2013 05 09 00 00 00  238.00
2013 05 09 06 00 00  219.00
2013 05 09 12 00 00  300.00
2013 05 09 18 00 00  270.00
2013 05 10 00 00 00  257.00
2013 05 10 06 00 00  263.00
2013 05 10 12 00 00  280.00
2013 05 10 18 00 00  327.00
2013 05 11 00 00 00  294.00
2013 05 11 06 00 00  268.00
2013 05 11 12 00 00  300.00
2013 05 11 18 00 00  297.00
2013 05 12 00 00 00  300.00
2013 05 12 06 00 00  244.00
2013 05 12 12 00 00  307.00
2013 05 12 18 00 00  340.00
2013 05 13 00 00 00  311.00
2013 05 13 06 00 00  274.00
2013 05 13 12 00 00  313.00
2013 05 13 18 00 00  338.00
2013 05 14 00 00 00  251.00
2013 05 14 06 00 00  270.00
2013 05 14 12 00 00  319.00
2013 05 14 18 00 00  328.00
2013 05 15 00 00 00  226.00
2013 05 15 06 00 00  222.00
2013 05 15 12 00 00  320.00
2013 05 15 18 00 00  366.00
2013 05 16 00 00 00  216.00
2013 05 16 06 00 00  233.00
2013 05 16 12 00 00  260.00
2013 05 16 18 00 00  310.00
2013 05 17 00 00 00  331.00
2013 05 17 06 00 00  243.00
2013 05 17 12 00 00  322.00
2013 05 17 18 00 00  349.00
2013 05 18 00 00 00  337.00
2013 05 18 06 00 00  299.00
2013 05 18 12 00 00  340.00
2013 05 18 18 00 00  281.00
2013 05 19 00 00 00  338.00
2013 05 19 06 00 00  280.00
2013 05 19 12 00 00  337.00
2013 05 19 18 00 00  355.00
2013 05 20 00 00 00  317.00
2013 05 20 06 00 00  280.00
2013 05 20 12 00 00  337.00
2013 05 20 18 00 00  376.00
2013 05 21 00 00 00  333.00
2013 05 21 06 00 00  280.00
2013 05 21 12 00 00  344.00
2013 05 21 18 00 00  374.00
2013 05 22 00 00 00  346.00
2013 05 22 06 00 00  301.00
2013 05 22 12 00 00  349.00
2013 05 22 18 00 00  327.00
2013 05 23 00 00 00  338.00
2013 05 23 06 00 00  316.00
2013 05 23 12 00 00  260.00
2013 05 23 18 00 00  378.00
2013 05 24 00 00 00  310.00
2013 05 24 06 00 00  325.00
2013 05 24 12 00 00  339.00
2013 05 24 18 00 00  345.00
2013 05 25 00 00 00  335.00
2013 05 25 06 00 00  231.00
2013 05 25 12 00 00  351.00
2013 05 25 18 00 00  252.00
2013 05 26 00 00 00  350.00
2013 05 26 06 00 00  209.00
2013 05 26 12 00 00  358.00
2013 05 26 18 00 00  390.00
2013 05 27 00 00 00  364.00
2013 05 27 06 00 00  330.00
2013 05 27 12 00 00  376.00
2013 05 27 18 00 00  393.00
2013 05 28 00 00 00  332.00
2013 05 28 06 00 00  315.00
2013 05 28 12 00 00  286.00
2013 05 28 18 00 00  363.00
2013 05 29 00 00 00  306.00
2013 05 29 06 00 00  280.00
